"","Country","date","in_lockdown"
"1","Austria",2005-01-01,0
"2","Austria",2005-01-02,0
"3","Austria",2005-01-03,0
"4","Austria",2005-01-04,0
"5","Austria",2005-01-05,0
"6","Austria",2005-01-06,0
"7","Austria",2005-01-07,0
"8","Austria",2005-01-08,0
"9","Austria",2005-01-09,0
"10","Austria",2005-01-10,0
"11","Austria",2005-01-11,0
"12","Austria",2005-01-12,0
"13","Austria",2005-01-13,0
"14","Austria",2005-01-14,0
"15","Austria",2005-01-15,0
"16","Austria",2005-01-16,0
"17","Austria",2005-01-17,0
"18","Austria",2005-01-18,0
"19","Austria",2005-01-19,0
"20","Austria",2005-01-20,0
"21","Austria",2005-01-21,0
"22","Austria",2005-01-22,0
"23","Austria",2005-01-23,0
"24","Austria",2005-01-24,0
"25","Austria",2005-01-25,0
"26","Austria",2005-01-26,0
"27","Austria",2005-01-27,0
"28","Austria",2005-01-28,0
"29","Austria",2005-01-29,0
"30","Austria",2005-01-30,0
"31","Austria",2005-01-31,0
"32","Austria",2005-02-01,0
"33","Austria",2005-02-02,0
"34","Austria",2005-02-03,0
"35","Austria",2005-02-04,0
"36","Austria",2005-02-05,0
"37","Austria",2005-02-06,0
"38","Austria",2005-02-07,0
"39","Austria",2005-02-08,0
"40","Austria",2005-02-09,0
"41","Austria",2005-02-10,0
"42","Austria",2005-02-11,0
"43","Austria",2005-02-12,0
"44","Austria",2005-02-13,0
"45","Austria",2005-02-14,0
"46","Austria",2005-02-15,0
"47","Austria",2005-02-16,0
"48","Austria",2005-02-17,0
"49","Austria",2005-02-18,0
"50","Austria",2005-02-19,0
"51","Austria",2005-02-20,0
"52","Austria",2005-02-21,0
"53","Austria",2005-02-22,0
"54","Austria",2005-02-23,0
"55","Austria",2005-02-24,0
"56","Austria",2005-02-25,0
"57","Austria",2005-02-26,0
"58","Austria",2005-02-27,0
"59","Austria",2005-02-28,0
"60","Austria",2005-03-01,0
"61","Austria",2005-03-02,0
"62","Austria",2005-03-03,0
"63","Austria",2005-03-04,0
